employee_id,exit_date,exit_type,stated_exit_reason,notice_period_served,regrettable_flag,performance_band_at_exit,salary_at_exit,manager_id_at_exit,pathway
E00005,2024-12-24,voluntary,Relocation,True,False,Meets Expectations,132400.0,E12337,push
E00006,2025-04-17,voluntary,Work-life balance,True,False,Below Expectations,120600.0,E00218,push
E00008,2024-02-19,voluntary,Career advancement,True,False,Meets Expectations,117800.0,E00249,push
E00021,2024-05-24,voluntary,Career advancement,True,False,Meets Expectations,125500.0,E08861,push
E00023,2025-07-04,voluntary,Career advancement,False,False,Outstanding,175400.0,E09824,pull
E00027,2025-04-30,voluntary,Better opportunity,True,False,High Performer,172700.0,E09174,pull
E00036,2025-09-29,voluntary,Study/career change,True,False,Unsatisfactory,130000.0,E02132,push
E00046,2025-04-29,voluntary,Career advancement,True,False,Meets Expectations,127800.0,E10271,push
E00053,2024-05-01,voluntary,Better opportunity,True,False,Meets Expectations,132700.0,E00523,pull
E00071,2024-09-30,voluntary,Career advancement,True,False,Below Expectations,123400.0,E04453,push
E00072,2025-05-18,voluntary,Compensation,True,False,Meets Expectations,132800.0,E01982,push
E00074,2025-08-29,voluntary,Compensation,True,False,Unsatisfactory,130700.0,E01790,push
E00077,2024-08-30,involuntary,Involuntary - restructure,True,False,Meets Expectations,132200.0,E00271,push
E00078,2024-06-28,voluntary,Career advancement,True,False,Unsatisfactory,182200.0,E08854,push
E00082,2025-03-14,voluntary,Career advancement,True,False,Meets Expectations,124500.0,E08751,pull
E00095,2024-12-22,involuntary,Involuntary - performance,True,False,Below Expectations,122800.0,E00583,push
E00099,2024-09-27,voluntary,Career advancement,True,False,Below Expectations,142600.0,E00164,push
E00102,2025-06-18,voluntary,Better opportunity,False,False,Unsatisfactory,180700.0,E06617,push
E00106,2024-05-31,voluntary,Better opportunity,True,False,Outstanding,132200.0,E11480,pull
E00115,2024-03-15,voluntary,Career advancement,False,False,Below Expectations,137200.0,E05469,push
E00146,2024-06-28,involuntary,Involuntary - performance,False,False,Unsatisfactory,115600.0,E10143,push
E00149,2025-03-31,voluntary,Better opportunity,True,False,High Performer,265200.0,E06846,pull
E00156,2024-03-15,voluntary,Better opportunity,False,True,Meets Expectations,185700.0,E00273,pull
E00160,2025-02-02,voluntary,Better opportunity,True,False,Below Expectations,125200.0,E10143,pull
E00190,2024-04-30,voluntary,Career advancement,False,False,Meets Expectations,140200.0,E00880,pull
E00200,2025-08-10,voluntary,Career advancement,True,True,Outstanding,143000.0,E07060,pull
