employee_id,review_date,performance_rating,review_cycle,promotion_recommendation,goal_achievement_score,reviewer_id
E00001,2024-06-01,Meets Expectations,2024-H1,False,46.1,E04330
E00001,2024-11-21,Meets Expectations,2024-H2,False,65.4,E04330
E00001,2025-05-28,Meets Expectations,2025-H1,False,76.4,E04330
E00003,2024-06-15,Meets Expectations,2024-H1,False,67.0,E13109
E00003,2024-12-26,High Performer,2024-H2,True,68.7,E13109
E00003,2025-05-23,High Performer,2025-H1,True,83.2,E13109
E00004,2024-05-27,Meets Expectations,2024-H1,False,67.0,E14294
E00004,2024-12-30,Unsatisfactory,2024-H2,False,38.0,E14294
E00004,2025-05-30,Outstanding,2025-H1,False,76.5,E14294
E00005,2024-06-28,High Performer,2024-H1,False,67.7,E12337
E00005,2024-12-13,Outstanding,2024-H2,False,97.1,E12337
E00006,2024-06-23,High Performer,2024-H1,False,90.2,E00218
E00006,2024-12-23,Outstanding,2024-H2,True,86.8,E00218
E00007,2024-05-30,Meets Expectations,2024-H1,False,67.5,E08152
E00007,2024-12-11,Meets Expectations,2024-H2,False,76.8,E08152
E00007,2025-06-01,Meets Expectations,2025-H1,False,51.0,E08152
E00009,2024-06-17,Meets Expectations,2024-H1,False,60.3,E07814
E00009,2024-12-26,Meets Expectations,2024-H2,False,73.9,E07814
E00009,2025-06-16,Below Expectations,2025-H1,False,47.4,E07814
E00010,2024-06-14,High Performer,2024-H1,False,58.0,E11480
E00010,2024-12-16,Meets Expectations,2024-H2,False,68.1,E11480
E00010,2025-06-05,Meets Expectations,2025-H1,False,57.3,E11480
E00011,2024-06-17,Outstanding,2024-H1,False,87.2,E06856
E00011,2024-11-28,Below Expectations,2024-H2,False,50.0,E06856
E00011,2025-05-23,High Performer,2025-H1,False,81.7,E06856
E00012,2024-05-22,High Performer,2024-H1,False,76.2,E00712
E00012,2024-12-27,Meets Expectations,2024-H2,False,55.9,E00712
E00012,2025-05-20,Meets Expectations,2025-H1,False,50.7,E00712
E00013,2024-06-27,High Performer,2024-H1,False,84.7,E00432
E00013,2024-11-24,High Performer,2024-H2,False,68.7,E00432
E00013,2025-06-13,Below Expectations,2025-H1,False,51.0,E00432
E00014,2024-06-07,Below Expectations,2024-H1,False,48.9,E01653
E00014,2024-11-19,Meets Expectations,2024-H2,False,67.0,E01653
E00014,2025-05-29,Meets Expectations,2025-H1,False,62.1,E01653
E00015,2024-06-21,Meets Expectations,2024-H1,False,44.1,E07205
E00015,2024-12-20,Meets Expectations,2024-H2,False,82.7,E07205
E00015,2025-05-19,High Performer,2025-H1,False,83.7,E07205
E00016,2024-05-16,Meets Expectations,2024-H1,False,59.8,E11238
E00016,2024-12-26,Meets Expectations,2024-H2,False,69.2,E11238
E00016,2025-06-23,High Performer,2025-H1,False,58.8,E11238
E00017,2024-06-02,Outstanding,2024-H1,False,90.0,E11711
E00017,2024-12-27,Unsatisfactory,2024-H2,False,49.4,E11711
E00017,2025-05-29,Below Expectations,2025-H1,False,34.2,E11711
E00018,2024-05-23,High Performer,2024-H1,False,86.9,E10247
E00018,2024-12-05,Meets Expectations,2024-H2,False,74.3,E10247
E00018,2025-05-31,Meets Expectations,2025-H1,False,58.6,E10247
E00019,2024-06-18,Meets Expectations,2024-H1,False,47.4,E10272
E00019,2024-12-02,Outstanding,2024-H2,True,87.2,E10272
E00019,2025-06-28,Meets Expectations,2025-H1,False,65.0,E10272
E00020,2024-06-06,Meets Expectations,2024-H1,False,63.9,E09364
E00020,2024-12-16,Outstanding,2024-H2,False,85.0,E09364
E00020,2025-06-08,High Performer,2025-H1,True,82.5,E09364
E00021,2024-05-18,High Performer,2024-H1,False,69.4,E08861
E00022,2024-06-01,Meets Expectations,2024-H1,False,60.5,E00833
E00022,2024-12-13,High Performer,2024-H2,False,72.8,E00833
E00022,2025-05-21,Meets Expectations,2025-H1,False,80.4,E00833
E00023,2024-06-14,High Performer,2024-H1,False,76.2,E09824
E00023,2024-12-15,High Performer,2024-H2,False,67.6,E09824
E00023,2025-06-22,High Performer,2025-H1,False,60.2,E09824
E00024,2024-06-03,Outstanding,2024-H1,False,81.0,E07787
E00024,2024-11-18,Below Expectations,2024-H2,False,42.2,E07787
E00024,2025-05-22,Outstanding,2025-H1,True,100.0,E07787
E00025,2024-05-20,Outstanding,2024-H1,True,90.3,E00272
E00025,2024-12-29,Meets Expectations,2024-H2,False,77.9,E00272
E00025,2025-06-13,High Performer,2025-H1,True,71.0,E00272
E00026,2024-06-05,Meets Expectations,2024-H1,False,60.6,E06422
E00026,2024-11-13,Outstanding,2024-H2,True,83.3,E06422
E00026,2025-06-15,Meets Expectations,2025-H1,False,55.7,E06422
E00027,2024-06-04,Meets Expectations,2024-H1,False,56.6,E09174
E00027,2024-12-05,Outstanding,2024-H2,True,84.4,E09174
E00029,2024-05-31,Outstanding,2024-H1,True,83.3,E01698
E00029,2024-11-22,High Performer,2024-H2,False,77.2,E01698
E00029,2025-06-04,High Performer,2025-H1,False,85.8,E01698
E00030,2024-06-26,Meets Expectations,2024-H1,False,53.5,E02887
E00030,2024-11-29,Meets Expectations,2024-H2,False,53.2,E02887
E00030,2025-06-07,High Performer,2025-H1,False,75.4,E02887
E00031,2024-06-29,Below Expectations,2024-H1,False,36.0,E07967
E00031,2024-11-16,High Performer,2024-H2,True,82.9,E07967
E00031,2025-06-24,Meets Expectations,2025-H1,False,50.0,E07967
E00033,2024-05-28,High Performer,2024-H1,False,69.2,E00337
E00033,2024-11-28,Below Expectations,2024-H2,False,53.0,E00337
E00033,2025-06-17,High Performer,2025-H1,False,68.8,E00337
E00034,2024-06-18,High Performer,2024-H1,True,75.2,E03019
E00034,2024-12-29,Unsatisfactory,2024-H2,False,44.7,E03019
E00034,2025-06-21,Outstanding,2025-H1,True,81.9,E03019
E00035,2024-05-30,High Performer,2024-H1,False,83.5,E00919
E00035,2024-11-13,Outstanding,2024-H2,True,94.9,E00919
E00035,2025-06-26,High Performer,2025-H1,False,70.3,E00919
E00036,2024-06-27,Meets Expectations,2024-H1,False,56.9,E02132
E00036,2024-12-02,Unsatisfactory,2024-H2,False,24.1,E02132
